dataset_key,domain,frequency,model,model_family,horizon_type,horizon,experiment_type,n_series,mae,rmse,smape,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb
bitcoin,finance,daily,timesfm,foundation,long,30,baseline,18,2.3247393772647567e+18,2.4115585734198113e+18,20.583393230078233,0.00017489327324756666,0.4543649090660943,0.45454782909817165,0.1024198532104492
bitcoin,finance,daily,ttm,foundation,long,30,baseline,18,1.8985228004157473e+18,1.9825936708255619e+18,21.082188099530093,3.192159864637587e-06,0.1105974780188666,0.1106046703126695,0.9885492324829102
bitcoin,finance,daily,arima,traditional,long,30,baseline,18,1.0585195828700265e+18,1.183484366598174e+18,21.35620619054548,1.629193623860677e-06,0.22594572438134083,0.22595050599839947,15.732830047607422
bitcoin,finance,daily,naive,traditional,long,30,baseline,18,7.777282812040321e+17,9.419842018982259e+17,21.785472117044833,8.344650268554688e-07,1.1920928955078125e-05,1.4834933810763889e-05,0.0418739318847656
bitcoin,finance,daily,seasonal_naive,traditional,long,30,baseline,18,1.7733886764114263e+18,1.9637372769144968e+18,22.063131811109834,6.887647840711805e-07,0.00010604328579368898,0.00010861290825732701,0.0493736267089843
bitcoin,finance,daily,prophet,traditional,long,30,baseline,18,4.0584067914072136e+18,4.093150632219276e+18,44.09170761198467,0.00012372599707707847,1.8605830272038777,1.8607121970918443,143.0962724685669
bitcoin,finance,daily,uni2ts,foundation,long,30,baseline,18,3.470403888517405e+18,3.5533980420150605e+18,48.32724173617556,2.7683046129014756e-06,1.1594903866449993,1.1594980425304837,0.8756418228149414
bitcoin,finance,daily,lstm,traditional,long,30,baseline,18,5.326948859812022e+18,5.35339678440449e+18,144.8537937848291,5.7882732815212675e-06,12.570681465996635,12.57069460550944,2.315243721008301
bitcoin,finance,daily,naive,traditional,short,15,baseline,18,4.2944067236481254e+17,5.332994038942606e+17,22.977770276657182,7.947285970052084e-07,1.0901027255588107e-05,1.4106432596842447e-05,0.0413694381713867
bitcoin,finance,daily,arima,traditional,short,15,baseline,18,5.907406702148305e+17,6.899730160319621e+17,22.98316088357029,1.5894571940104167e-06,0.24406694041358096,0.24407222535875103,17.288530349731445
bitcoin,finance,daily,timesfm,foundation,short,15,baseline,18,2.6590372667898253e+17,3.1432863988261376e+17,24.543080625331324,0.00014997853173144644,0.5030675464206271,0.503223631117079,12.179601669311523
bitcoin,finance,daily,ttm,foundation,short,15,baseline,18,2.7546719964853123e+17,3.1753703912569786e+17,26.400627650554462,2.781550089518229e-06,0.11151327027214893,0.1115205287933349,1.0438718795776367
bitcoin,finance,daily,uni2ts,foundation,short,15,baseline,18,5.926557441790584e+17,7.335605948336607e+17,26.933035741598854,2.9007593790690103e-06,1.009120848443773,1.009128663274977,1.1396522521972656
bitcoin,finance,daily,seasonal_naive,traditional,short,15,baseline,18,7.655635749782972e+17,9.761890147985352e+17,29.094887283369896,9.801652696397569e-07,0.00010293059878875009,0.0001052353117200724,0.0487136840820312
bitcoin,finance,daily,prophet,traditional,short,15,baseline,18,3.6670538475319767e+18,3.681767731072002e+18,51.22451026086836,0.00010824203491207257,2.068946268823412,2.0690587759017944,144.16339492797852
bitcoin,finance,daily,lstm,traditional,short,15,baseline,18,5.486436368257308e+18,5.49837757157712e+18,149.79990642095322,3.589524163140191e-06,10.467822737163967,10.467831505669487,2.077076911926269
car_parts,retail,monthly,naive,traditional,long,5,baseline,2674,0.5727000747943156,0.7505348337149196,53.13108091443395,2.7871970017632173e-07,5.622452198790363e-06,7.839548828535858e-06,3.2193679809570312
car_parts,retail,monthly,seasonal_naive,traditional,long,5,baseline,2674,0.5638743455497383,0.8651304586989211,57.76588267102265,3.562012802957151e-07,2.0232143559024093e-05,2.3509106175972265e-05,3.3025131225585938
car_parts,retail,monthly,arima,traditional,long,5,baseline,2674,0.5299892445597063,0.682320553859691,67.90877957333964,4.861991442935005e-07,0.02098848102872012,0.020991495320755903,5.318935394287109
car_parts,retail,monthly,timesfm,foundation,long,5,baseline,2671,0.3790915630261289,0.5431093974354884,122.18134949525468,7.254940791328227e-06,0.3010946475178594,0.3011066439623959,4.656039237976074
car_parts,retail,monthly,uni2ts,foundation,long,5,baseline,2674,1.1731104977075817,1.8029388145180028,179.365129030435,9.803336863207478e-07,1.2893164814989693,1.289321179967722,18.787017822265625
car_parts,retail,monthly,prophet,traditional,long,5,baseline,2674,0.6364603758080492,0.7800562628137536,181.3797982390524,7.493244504964253e-06,0.13859497627038603,0.13860530343266142,9.408824920654297
car_parts,retail,monthly,lstm,traditional,long,5,baseline,2674,0.406746837785262,0.5821195770026228,193.19722923930752,7.345146801191743e-07,0.06318343274167156,0.06318717584203404,5.077691078186035
car_parts,retail,monthly,naive,traditional,short,2,baseline,2674,0.5046746447270007,0.5875445789123087,48.587146206633264,5.913208738225739e-07,8.981800293333957e-06,1.3169996223078795e-05,3.23996639251709
car_parts,retail,monthly,seasonal_naive,traditional,short,2,baseline,2674,0.581712789827973,0.7223611478550882,58.448705404387674,6.20209288044304e-07,3.15603250519232e-05,3.592479380548388e-05,3.322978973388672
car_parts,retail,monthly,arima,traditional,short,2,baseline,2674,0.4848597055815515,0.5559609586698695,63.917932194387475,1.7818980192014326e-06,0.04039640415936325,0.04040555536702393,4.342376708984375
car_parts,retail,monthly,timesfm,foundation,short,2,baseline,2672,0.369497510987267,0.44107546527349845,101.58199091467003,1.0970377636526798e-05,0.3550942707026076,0.3551110531577093,16.584434509277344
car_parts,retail,monthly,uni2ts,foundation,short,2,baseline,2674,0.7176747387184452,0.7971935663634304,179.4128432745662,1.1593705250776428e-06,0.9992744969893679,0.999279945486949,19.45028018951416
car_parts,retail,monthly,prophet,traditional,short,2,baseline,2674,0.6189315918028666,0.6890153749857569,181.99295333169746,1.5467784256746034e-05,0.2650395046888934,0.2650606557336777,10.123315811157228
car_parts,retail,monthly,lstm,traditional,short,2,baseline,2674,0.41571757852984664,0.48830908587229427,191.54940552605805,1.3000678017501432e-06,0.09258339836602789,0.09258929927044153,5.0961503982543945
electricity_weekly,energy,weekly,timesfm,foundation,long,8,baseline,321,30481.789552920334,33137.78385021031,9.103093043831436,1.752265145845472e-05,0.3637504057720814,0.3637728386578901,0.5836420059204102
electricity_weekly,energy,weekly,seasonal_naive,traditional,long,8,baseline,321,26351.78504672897,30367.679003094814,10.67201956853589,6.365256146107136e-07,3.4611544505086376e-05,3.80125372580649e-05,0.41064453125
electricity_weekly,energy,weekly,arima,traditional,long,8,baseline,321,72694.1145326894,75674.00402187291,13.957594704438787,1.2344289048809871e-06,0.03588714852139953,0.035892318713702104,2.3670454025268555
