dataset_key,horizon_type,domain,frequency,model,model_family,horizon,experiment_type,n_series,mae,rmse,smape,avg_fit_time_seconds,avg_inference_time_seconds,avg_series_total_time_seconds,avg_peak_memory_mb
bitcoin,long,finance,daily,timesfm,foundation,30,baseline,18,2.3247393772647567e+18,2.4115585734198113e+18,20.583393230078233,0.00017489327324756666,0.4543649090660943,0.45454782909817165,0.1024198532104492
bitcoin,short,finance,daily,naive,traditional,15,baseline,18,4.2944067236481254e+17,5.332994038942606e+17,22.977770276657182,7.947285970052084e-07,1.0901027255588107e-05,1.4106432596842447e-05,0.0413694381713867
car_parts,long,retail,monthly,naive,traditional,5,baseline,2674,0.5727000747943156,0.7505348337149196,53.13108091443395,2.7871970017632173e-07,5.622452198790363e-06,7.839548828535858e-06,3.2193679809570312
car_parts,short,retail,monthly,naive,traditional,2,baseline,2674,0.5046746447270007,0.5875445789123087,48.587146206633264,5.913208738225739e-07,8.981800293333957e-06,1.3169996223078795e-05,3.23996639251709
electricity_weekly,long,energy,weekly,timesfm,foundation,8,baseline,321,30481.789552920334,33137.78385021031,9.103093043831436,1.752265145845472e-05,0.3637504057720814,0.3637728386578901,0.5836420059204102
electricity_weekly,short,energy,weekly,timesfm,foundation,4,baseline,321,17319.724983857057,20205.26506670756,7.202438136731999,1.3947115508938132e-05,0.294125928314304,0.2941448955892402,12.566020011901855
fred_md,long,finance,monthly,ttm,foundation,24,baseline,107,4281.675827473107,4936.726206804728,12.239916084088508,2.517878452194071e-06,0.14092971676977992,0.14093714785353043,1.1940793991088867
fred_md,short,finance,monthly,timesfm,foundation,12,baseline,107,2769.7418172102166,3203.20969402028,10.291124352155611,4.9604433719242394e-05,0.464267207083301,0.46432306387714134,12.22354793548584
m1_monthly,long,finance,monthly,timesfm,foundation,18,baseline,589,1958.0277372313171,2297.191326297124,13.982878150007435,1.3928664358038547e-05,0.3885181350902305,0.3885374316132939,1.0835647583007812
m1_monthly,short,finance,monthly,timesfm,foundation,9,baseline,617,1305.9606560690518,1602.496925481034,11.438034879872731,1.7159955041721145e-05,0.39430576128163636,0.39432859111643687,12.939711570739746
nn5_daily,long,retail,daily,timesfm,foundation,56,baseline,111,3.4069649346927875,4.992091786167081,19.881093952766147,2.3150229239249013e-05,0.2916110098898948,0.2916382798203477,0.2349071502685547
nn5_daily,short,retail,daily,timesfm,foundation,28,baseline,111,3.3387345445747423,5.16358264091192,20.055804898227898,3.51892935263144e-05,0.270243958309964,0.27028302459029463,12.234786033630373
nn5_weekly,long,retail,weekly,timesfm,foundation,8,baseline,111,13.914180989421544,17.346942003316133,10.684763020807424,1.0017876152519707e-05,0.17431651364575632,0.1743318755347449,0.2243337631225586
nn5_weekly,short,retail,weekly,timesfm,foundation,4,baseline,111,14.814267393278987,17.79888800020711,11.365803552771432,1.3628521481075802e-05,0.20821024276114797,0.2082301496385454,12.193599700927734
saugeenday,long,energy,daily,arima,traditional,30,baseline,1,21.07163035725933,41.96015510755132,34.24740486989528,4.0531158447265625e-06,1.936182975769043,1.9361960887908936,26.91675090789795
saugeenday,short,energy,daily,lstm,traditional,15,baseline,1,35.20211664835612,56.921433664651104,50.783688121060536,5.960464477539063e-06,101.0013267993927,101.00148010253906,9.862709045410156
solar_weekly,long,energy,weekly,timesfm,foundation,5,baseline,137,1175.2621439467382,1299.5364807124067,24.005903768686903,1.4677535008339987e-05,0.4132321994670116,0.4132542523154377,0.2590904235839844
solar_weekly,short,energy,weekly,naive,traditional,2,baseline,137,821.1653284671532,868.3334909661341,19.817583840170226,7.152557373046875e-07,9.641160060019388e-06,1.4038851661403684e-05,0.179574966430664
