domain,model,model_family,experiment_type,avg_domain_rank,median_domain_rank,evaluated_tasks,avg_smape
energy,arima,traditional,baseline,2.5,2.5,6,28.3271661511353
energy,naive,traditional,baseline,2.8333333333333335,3.0,6,28.07501940947478
energy,timesfm,foundation,baseline,3.5,2.5,6,31.322049781003273
energy,seasonal_naive,traditional,baseline,4.0,4.0,6,33.19520861351382
energy,uni2ts,foundation,baseline,4.833333333333333,5.0,6,35.38877317964231
energy,prophet,traditional,baseline,5.5,6.0,6,37.93849972539163
energy,ttm,foundation,baseline,5.75,6.0,4,34.66454351482292
energy,lstm,traditional,baseline,6.0,7.0,6,149.47504751004703
finance,timesfm,foundation,baseline,1.5,1.0,6,15.65211504108177
finance,arima,traditional,baseline,2.6666666666666665,3.0,6,17.483864198165023
finance,naive,traditional,baseline,3.5,4.0,6,17.71807761277678
finance,ttm,foundation,baseline,3.8333333333333335,3.5,6,19.661349275922372
finance,seasonal_naive,traditional,baseline,4.166666666666667,5.0,6,19.19470887682105
finance,prophet,traditional,baseline,6.166666666666667,6.5,6,32.975724793753294
finance,uni2ts,foundation,baseline,6.166666666666667,6.0,6,26.913806483697172
finance,lstm,traditional,baseline,8.0,8.0,6,155.83128276968526
retail,timesfm,foundation,baseline,2.0,1.0,6,47.625134305749604
retail,prophet,traditional,baseline,3.3333333333333335,2.0,6,72.08819389735328
retail,seasonal_naive,traditional,baseline,3.8333333333333335,3.5,6,33.942849261646586
retail,naive,traditional,baseline,4.166666666666667,4.5,6,37.08574781116969
retail,uni2ts,foundation,baseline,4.5,5.0,6,74.38697680385202
retail,arima,traditional,baseline,4.666666666666667,3.5,6,42.106911903203034
retail,ttm,foundation,baseline,5.5,6.0,4,23.786608915796684
retail,lstm,traditional,baseline,7.166666666666667,7.0,6,144.63218181758478
energy,arima,traditional,tuned,2.5,2.5,6,27.19912423903644
energy,naive,traditional,tuned,2.8333333333333335,3.0,6,28.07501940947478
energy,timesfm,foundation,tuned,3.5,2.5,6,31.322049781003273
energy,seasonal_naive,traditional,tuned,4.0,4.0,6,33.19520861351382
energy,prophet,traditional,tuned,4.666666666666667,5.5,6,36.60272589557827
energy,uni2ts,foundation,tuned,4.666666666666667,5.0,6,34.47895529055284
energy,ttm,foundation,tuned,6.0,6.5,4,36.566097434803176
energy,lstm,traditional,tuned,6.833333333333333,7.0,6,151.63758940034697
finance,timesfm,foundation,tuned,1.3333333333333333,1.0,6,15.65211504108177
finance,ttm,foundation,tuned,3.1666666666666665,2.0,6,19.13414249675471
finance,naive,traditional,tuned,3.3333333333333335,4.0,6,17.71807761277678
finance,arima,traditional,tuned,3.5,3.0,6,18.780172042660347
finance,seasonal_naive,traditional,tuned,4.0,4.5,6,19.19470887682105
finance,uni2ts,foundation,tuned,5.833333333333333,6.0,6,26.869237613887964
finance,prophet,traditional,tuned,6.833333333333333,7.0,6,49.91773320537436
finance,lstm,traditional,tuned,8.0,8.0,6,135.73722243921247
retail,timesfm,foundation,tuned,1.6666666666666667,1.0,6,47.625134305749604
retail,seasonal_naive,traditional,tuned,3.8333333333333335,3.5,6,33.942849261646586
retail,arima,traditional,tuned,4.0,4.0,6,75.3072863773906
retail,prophet,traditional,tuned,4.0,3.0,6,71.94369587939848
retail,naive,traditional,tuned,4.5,4.5,6,37.08574781116969
retail,uni2ts,foundation,tuned,4.833333333333333,5.0,6,74.38887577820624
retail,ttm,foundation,tuned,5.75,6.5,4,23.786608915796684
retail,lstm,traditional,tuned,6.666666666666667,7.0,6,125.99326270853471
