dataset_key,model,horizon_type,experiment_type,status,count
bitcoin,arima,long,baseline,success,18
bitcoin,arima,long,tuned,success,18
bitcoin,arima,short,baseline,success,18
bitcoin,arima,short,tuned,success,18
bitcoin,lstm,long,baseline,success,18
bitcoin,lstm,long,tuned,success,18
bitcoin,lstm,short,baseline,success,18
bitcoin,lstm,short,tuned,success,18
bitcoin,naive,long,baseline,success,18
bitcoin,naive,long,tuned,success,18
bitcoin,naive,short,baseline,success,18
bitcoin,naive,short,tuned,success,18
bitcoin,prophet,long,baseline,success,18
bitcoin,prophet,long,tuned,success,18
bitcoin,prophet,short,baseline,success,18
bitcoin,prophet,short,tuned,success,18
bitcoin,seasonal_naive,long,baseline,success,18
bitcoin,seasonal_naive,long,tuned,success,18
bitcoin,seasonal_naive,short,baseline,success,18
bitcoin,seasonal_naive,short,tuned,success,18
bitcoin,timesfm,long,baseline,success,18
bitcoin,timesfm,long,tuned,success,18
bitcoin,timesfm,short,baseline,success,18
bitcoin,timesfm,short,tuned,success,18
bitcoin,ttm,long,baseline,success,18
bitcoin,ttm,long,tuned,success,18
bitcoin,ttm,short,baseline,success,18
bitcoin,ttm,short,tuned,success,18
bitcoin,uni2ts,long,baseline,success,18
bitcoin,uni2ts,long,tuned,success,18
bitcoin,uni2ts,short,baseline,success,18
bitcoin,uni2ts,short,tuned,success,18
car_parts,arima,long,baseline,success,2674
car_parts,arima,long,tuned,success,2674
car_parts,arima,short,baseline,success,2674
car_parts,arima,short,tuned,success,2674
car_parts,lstm,long,baseline,success,2674
car_parts,lstm,long,tuned,success,2674
car_parts,lstm,short,baseline,success,2674
car_parts,lstm,short,tuned,success,2674
car_parts,naive,long,baseline,success,2674
car_parts,naive,long,tuned,success,2674
car_parts,naive,short,baseline,success,2674
car_parts,naive,short,tuned,success,2674
car_parts,prophet,long,baseline,success,2674
car_parts,prophet,long,tuned,success,2674
car_parts,prophet,short,baseline,success,2674
car_parts,prophet,short,tuned,success,2674
car_parts,seasonal_naive,long,baseline,success,2674
car_parts,seasonal_naive,long,tuned,success,2674
car_parts,seasonal_naive,short,baseline,success,2674
car_parts,seasonal_naive,short,tuned,success,2674
car_parts,timesfm,long,baseline,failed,3
car_parts,timesfm,long,baseline,success,2671
car_parts,timesfm,long,tuned,failed,3
car_parts,timesfm,long,tuned,success,2671
car_parts,timesfm,short,baseline,failed,2
car_parts,timesfm,short,baseline,success,2672
car_parts,timesfm,short,tuned,failed,2
car_parts,timesfm,short,tuned,success,2672
car_parts,ttm,long,baseline,failed,2674
car_parts,ttm,long,tuned,failed,2674
car_parts,ttm,short,baseline,failed,2674
car_parts,ttm,short,tuned,failed,2674
car_parts,uni2ts,long,baseline,success,2674
car_parts,uni2ts,long,tuned,success,2674
car_parts,uni2ts,short,baseline,success,2674
car_parts,uni2ts,short,tuned,success,2674
electricity_weekly,arima,long,baseline,success,321
electricity_weekly,arima,long,tuned,success,321
electricity_weekly,arima,short,baseline,success,321
electricity_weekly,arima,short,tuned,success,321
electricity_weekly,lstm,long,baseline,success,321
electricity_weekly,lstm,long,tuned,success,321
electricity_weekly,lstm,short,baseline,success,321
electricity_weekly,lstm,short,tuned,success,321
electricity_weekly,naive,long,baseline,success,321
electricity_weekly,naive,long,tuned,success,321
electricity_weekly,naive,short,baseline,success,321
electricity_weekly,naive,short,tuned,success,321
electricity_weekly,prophet,long,baseline,success,321
electricity_weekly,prophet,long,tuned,success,321
electricity_weekly,prophet,short,baseline,success,321
electricity_weekly,prophet,short,tuned,success,321
electricity_weekly,seasonal_naive,long,baseline,success,321
electricity_weekly,seasonal_naive,long,tuned,success,321
electricity_weekly,seasonal_naive,short,baseline,success,321
electricity_weekly,seasonal_naive,short,tuned,success,321
electricity_weekly,timesfm,long,baseline,success,321
electricity_weekly,timesfm,long,tuned,success,321
electricity_weekly,timesfm,short,baseline,success,321
electricity_weekly,timesfm,short,tuned,success,321
electricity_weekly,ttm,long,baseline,success,321
electricity_weekly,ttm,long,tuned,success,321
electricity_weekly,ttm,short,baseline,success,321
electricity_weekly,ttm,short,tuned,success,321
electricity_weekly,uni2ts,long,baseline,success,321
electricity_weekly,uni2ts,long,tuned,success,321
electricity_weekly,uni2ts,short,baseline,success,321
electricity_weekly,uni2ts,short,tuned,success,321
fred_md,arima,long,baseline,success,107
fred_md,arima,long,tuned,success,107
fred_md,arima,short,baseline,success,107
fred_md,arima,short,tuned,success,107
fred_md,lstm,long,baseline,success,107
fred_md,lstm,long,tuned,success,107
