domain,model,model_family,avg_memory_rank,avg_peak_memory_mb
energy,arima,traditional,6.083333333333333,17.58608611424764
energy,lstm,traditional,4.25,3.8681694666544595
energy,naive,traditional,1.0,0.20094386736551917
energy,prophet,traditional,7.5,248.35060159365335
energy,seasonal_naive,traditional,2.0,0.260881503423055
energy,timesfm,foundation,4.166666666666667,3.4729106426239014
energy,ttm,foundation,4.875,1.9081391096115112
energy,uni2ts,foundation,5.083333333333333,2.2120930353800454
finance,arima,traditional,6.083333333333333,12.919944683710733
finance,lstm,traditional,4.25,1.424308141072591
finance,naive,traditional,1.5833333333333333,4.112348874409993
finance,prophet,traditional,7.5,58.289716720581055
finance,seasonal_naive,traditional,1.9166666666666667,0.32896534601847327
finance,timesfm,foundation,3.9166666666666665,3.5364979108174643
finance,ttm,foundation,5.666666666666667,25.21267906824748
finance,uni2ts,foundation,5.083333333333333,3.115023692448934
retail,arima,traditional,5.75,5.8057583173116045
retail,lstm,traditional,3.8333333333333335,2.0217084884643555
retail,naive,traditional,2.25,6.972280104955037
retail,prophet,traditional,7.0,13.0497198899587
retail,seasonal_naive,traditional,1.75,1.2092804908752441
retail,timesfm,foundation,3.8333333333333335,4.691740353902181
retail,ttm,foundation,4.625,1.3554123640060425
retail,uni2ts,foundation,5.833333333333333,8.978216489156088
